MatchId,BotType,Result,TimeMs,TotalClicks
312,RandomBot,DEFEAT,0,7
313,RandomBot,DEFEAT,0,2
314,RandomBot,DEFEAT,0,5
315,RandomBot,DEFEAT,0,4
316,RandomBot,DEFEAT,0,3
317,RandomBot,DEFEAT,0,4
318,RandomBot,DEFEAT,0,2
319,RandomBot,DEFEAT,0,8
320,RandomBot,DEFEAT,0,4
321,RandomBot,DEFEAT,0,8
322,RandomBot,DEFEAT,0,4
323,RandomBot,DEFEAT,0,5
324,RandomBot,DEFEAT,0,3
325,RandomBot,DEFEAT,0,4
326,RandomBot,DEFEAT,0,5
327,RandomBot,DEFEAT,0,2
328,RandomBot,DEFEAT,0,4
329,RandomBot,DEFEAT,0,2
330,RandomBot,DEFEAT,1,3
331,RandomBot,DEFEAT,0,4
332,RandomBot,DEFEAT,0,4
333,RandomBot,DEFEAT,0,7
334,RandomBot,DEFEAT,0,4
335,RandomBot,DEFEAT,0,4
336,RandomBot,DEFEAT,0,8
337,RandomBot,DEFEAT,0,4
338,RandomBot,DEFEAT,0,7
339,RandomBot,DEFEAT,0,1
340,RandomBot,DEFEAT,0,3
341,RandomBot,DEFEAT,0,5
342,RandomBot,DEFEAT,0,4
343,RandomBot,DEFEAT,0,4
344,RandomBot,DEFEAT,0,3
345,RandomBot,DEFEAT,0,1
346,RandomBot,DEFEAT,0,4
347,RandomBot,DEFEAT,0,4
348,RandomBot,DEFEAT,0,1
349,RandomBot,DEFEAT,0,6
350,RandomBot,DEFEAT,0,4
351,RandomBot,DEFEAT,0,6
352,RandomBot,DEFEAT,0,4
353,RandomBot,DEFEAT,0,7
354,RandomBot,DEFEAT,0,3
355,RandomBot,DEFEAT,0,3
356,RandomBot,DEFEAT,1,11
357,RandomBot,DEFEAT,0,2
358,RandomBot,DEFEAT,0,6
359,RandomBot,DEFEAT,0,3
360,RandomBot,DEFEAT,0,3
361,RandomBot,DEFEAT,0,3
362,RandomBot,DEFEAT,0,2
363,RandomBot,DEFEAT,0,4
364,RandomBot,DEFEAT,0,5
365,RandomBot,DEFEAT,0,5
366,RandomBot,DEFEAT,0,3
367,RandomBot,DEFEAT,0,2
368,RandomBot,DEFEAT,0,3
369,RandomBot,DEFEAT,0,2
370,RandomBot,DEFEAT,0,9
371,RandomBot,DEFEAT,0,2
372,RandomBot,DEFEAT,0,4
373,RandomBot,DEFEAT,0,1
374,RandomBot,DEFEAT,0,3
375,RandomBot,DEFEAT,0,4
376,RandomBot,DEFEAT,0,5
377,RandomBot,DEFEAT,0,2
378,RandomBot,DEFEAT,0,5
379,RandomBot,DEFEAT,0,1
380,RandomBot,DEFEAT,0,6
381,RandomBot,DEFEAT,0,5
382,RandomBot,DEFEAT,0,5
383,RandomBot,DEFEAT,0,12
384,RandomBot,DEFEAT,1,4
385,RandomBot,DEFEAT,0,3
386,RandomBot,DEFEAT,0,4
387,RandomBot,DEFEAT,0,6
388,RandomBot,DEFEAT,0,2
389,RandomBot,DEFEAT,0,2
390,RandomBot,DEFEAT,0,2
391,RandomBot,DEFEAT,0,1
392,RandomBot,DEFEAT,0,5
393,RandomBot,DEFEAT,0,3
394,RandomBot,DEFEAT,0,1
395,RandomBot,DEFEAT,0,3
396,RandomBot,DEFEAT,0,2
397,RandomBot,DEFEAT,0,4
398,RandomBot,DEFEAT,0,2
399,RandomBot,DEFEAT,0,10
400,RandomBot,DEFEAT,0,3
401,RandomBot,DEFEAT,0,3
402,RandomBot,DEFEAT,0,1
403,RandomBot,DEFEAT,0,3
404,RandomBot,DEFEAT,0,6
405,RandomBot,DEFEAT,1,3
406,RandomBot,DEFEAT,0,3
407,RandomBot,DEFEAT,0,4
408,RandomBot,DEFEAT,0,1
409,RandomBot,DEFEAT,0,6
410,RandomBot,DEFEAT,0,1
411,RandomBot,DEFEAT,0,3
412,RandomBot,DEFEAT,0,4
413,RandomBot,DEFEAT,0,3
414,RandomBot,DEFEAT,0,4
415,RandomBot,DEFEAT,0,5
416,RandomBot,DEFEAT,0,2
417,RandomBot,DEFEAT,0,3
418,RandomBot,DEFEAT,0,4
419,RandomBot,DEFEAT,0,6
420,RandomBot,DEFEAT,0,4
421,RandomBot,VICTORY,0,2
422,RandomBot,DEFEAT,0,4
423,RandomBot,DEFEAT,0,1
424,RandomBot,DEFEAT,0,4
425,RandomBot,DEFEAT,0,4
426,RandomBot,DEFEAT,0,7
427,RandomBot,DEFEAT,0,8
428,RandomBot,DEFEAT,0,2
429,RandomBot,DEFEAT,0,6
430,RandomBot,DEFEAT,0,6
431,RandomBot,DEFEAT,0,6
432,RandomBot,DEFEAT,0,4
433,RandomBot,DEFEAT,0,4
434,RandomBot,DEFEAT,0,6
435,RandomBot,DEFEAT,0,5
436,RandomBot,DEFEAT,0,5
437,RandomBot,DEFEAT,0,4
438,RandomBot,DEFEAT,0,2
439,RandomBot,DEFEAT,0,6
440,RandomBot,DEFEAT,0,3
441,RandomBot,DEFEAT,0,9
442,RandomBot,DEFEAT,0,2
443,RandomBot,DEFEAT,0,2
444,RandomBot,DEFEAT,0,1
445,RandomBot,DEFEAT,0,1
446,RandomBot,DEFEAT,0,3
447,RandomBot,DEFEAT,0,3
448,RandomBot,DEFEAT,0,13
449,RandomBot,DEFEAT,0,6
450,RandomBot,DEFEAT,0,5
451,RandomBot,DEFEAT,0,2
452,RandomBot,DEFEAT,0,3
453,RandomBot,DEFEAT,0,8
454,RandomBot,DEFEAT,0,4
455,RandomBot,DEFEAT,1,8
456,RandomBot,DEFEAT,0,6
457,RandomBot,DEFEAT,0,3
458,RandomBot,DEFEAT,0,9
459,RandomBot,DEFEAT,0,5
460,RandomBot,DEFEAT,0,2
461,RandomBot,DEFEAT,0,2
462,RandomBot,DEFEAT,0,4
463,RandomBot,DEFEAT,0,3
464,RandomBot,DEFEAT,0,3
465,RandomBot,DEFEAT,0,5
466,RandomBot,DEFEAT,0,4
467,RandomBot,DEFEAT,0,7
468,RandomBot,DEFEAT,0,3
469,RandomBot,DEFEAT,0,6
470,RandomBot,DEFEAT,0,3
471,RandomBot,DEFEAT,0,4
472,RandomBot,DEFEAT,0,2
473,RandomBot,DEFEAT,0,3
474,RandomBot,DEFEAT,0,6
475,RandomBot,DEFEAT,0,3
476,RandomBot,DEFEAT,0,1
477,RandomBot,DEFEAT,0,1
478,RandomBot,DEFEAT,0,11
